,transactionIndex,burnRateWei,blockNumber,timestamp
175,114.0,20000000000000.0,13281516,1632393704
176,188.0,20000000000000.0,13291724,1632530052
177,187.0,20000000000000.0,13291741,1632530282
178,188.0,20000000000000.0,13291741,1632530282
179,98.0,20099999999999.0,13293828,1632558059
180,173.0,10000009999999.0,13293918,1632559131
181,174.0,20000100000000.0,13293918,1632559131
182,52.0,11100000999999.0,13293967,1632559733
183,53.0,15100000000000.0,13293967,1632559733
184,52.0,20099999999999.0,13293997,1632560037
185,278.0,17099999999999.0,13294044,1632560574
186,150.0,20099999999999.0,13294070,1632560983
187,151.0,20099999999999.0,13294070,1632560983
188,31.0,20000000000000.0,13294631,1632568509
189,71.0,35000000000000.0,13295339,1632577895
190,115.0,21000000000000.0,13297075,1632600912
191,228.0,21000000000000.0,13297927,1632611981
192,115.0,35099999999999.0,13298341,1632617439
193,66.0,18000000000000.0,13298645,1632621653
194,67.0,21099999999999.0,13298645,1632621653
195,4.0,26000000000000.0,13298657,1632621725
196,186.0,30000000000000.0,13298827,1632623855
197,186.0,30000000000000.0,13298832,1632623929
198,88.0,21000000000000.0,13298952,1632625507
199,312.0,30099999999999.0,13298955,1632625519
200,314.0,21000000000000.0,13298955,1632625519
201,315.0,29100000000000.0,13298955,1632625519
203,71.0,21200000000000.0,13300092,1632641065
207,185.0,11000000000000.0,13300536,1632647595
208,273.0,21000000000000.0,13301812,1632665599
209,274.0,21200000000000.0,13301812,1632665599
210,242.0,40099999999999.0,13301842,1632665950
211,212.0,30000000000000.0,13301848,1632666000
212,213.0,30000000000000.0,13301848,1632666000
213,104.0,29500000000000.0,13301900,1632666648
214,124.0,30099999999999.0,13301900,1632666648
215,265.0,35000000000000.0,13302104,1632669083
216,53.0,28199999999999.0,13312266,1632804851
217,69.0,11000000000000.0,13312522,1632808053
218,43.0,25099999999999.0,13320438,1632915533
219,9.0,31000000000000.0,13321126,1632924774
220,80.0,20000000000000.0,13321438,1632928839
221,36.0,50000000000000.0,13321493,1632929472
222,45.0,45000000000000.0,13321543,1632930295
223,88.0,11999999999999.0,13326484,1632996898
224,175.0,28999999999999.0,13327369,1633008949
243,45.0,11000000000000.0,13341610,1633201199
244,46.0,11000000000000.0,13341610,1633201199
245,297.0,0.0,13345415,1633253607
246,239.0,0.0,13345432,1633253785
247,56.0,15000000000000.0,13345640,1633256081
257,245.0,0.0,13377679,1633688963
258,128.0,0.0,13377684,1633689005
259,63.0,90000000000000.0,13378092,1633694767
260,77.0,0.0,13378163,1633695578
261,168.0,60000000000000.0,13378220,1633696224
262,221.0,80000000000000.0,13381967,1633747290
263,39.0,3000000000000.0,13388832,1633840630
264,125.0,50000000000000.0,13396322,1633942060
265,66.0,32000000000000.0,13396343,1633942333
266,263.0,40000000000000.0,13397562,1633959180
267,151.0,0.0,13422448,1634298361
