,logIndex,transactionIndex,transactionHash,blockNumber,poolId,newOwner,previousOwner,slotId,gasUsed,gasPrice,ethSpent,depositSLP,rewardsFVTForSession
345,438.0,360.0,b'\xcc\xc8\xaePQ\xa7\x08\x0b\x89\xb40\xd1}I\xe4\xc5W~\xe15&8I\xf2\xe8u\x90\xe7;8eb',13791064,1.0,0x99CCF0db7783927E9a1Ad324e99b6964C587024A,0x28de46689b899af843Ec549199AD70a75ad4d960,19.0,221314.0,90854513262.0,0.020107375748066268,275.0,98722.77330421975
346,421.0,258.0,"b""\xe9\xdc\x95\xbb\xf0\x8am\xf3\xfb\xf7\x05U'gi\x96o\xf6\x82\x80\xbb\x932\xb3W\\\xae\xaez\xd5\x92\\""",13791068,1.0,0x99CCF0db7783927E9a1Ad324e99b6964C587024A,0x28de46689b899af843Ec549199AD70a75ad4d960,9.0,221302.0,106143277967.0,0.023489719700653034,276.40000000000003,98703.40390850436
347,151.0,138.0,b'\x97|210\x84\x9e\x08\xab\x9b\xf7\xfb\xe1\xee\x9c~\xecHpJ\x0e\x90\xd6a^m\xc1\xee@&\xb1?',13791104,1.0,0x28de46689b899af843Ec549199AD70a75ad4d960,0x99CCF0db7783927E9a1Ad324e99b6964C587024A,15.0,223314.0,74404449306.0,0.016615555192320084,300.0,25037.592047971804
348,105.0,76.0,b'\xe4\xad\xc2\xbc\x92t\xed\x01Ci[\x1dY\x92\xf8\xe7w\xdcl\xcb\xd6C\xb8aB\xd5&t\xcdI\x99\xeb',13791107,1.0,0x28de46689b899af843Ec549199AD70a75ad4d960,0x99CCF0db7783927E9a1Ad324e99b6964C587024A,40.0,216760.0,75983317067.0,0.01647014380744292,300.0,5176.082520471601
349,270.0,217.0,"b'\x98,\xcc\x9agYP{0\x9c\xa7\xe3\x8b%\xfbGN\x1c)kde\xa4\xd8\x13$\xab\xd2n`\xc6\xb4'",13802570,1.0,0x0000000000000000000000000000000000000000,0xA25207Bb8f8EC2423E2ddf2686A0CD2048352f3E,3.0,195938.0,40000000000.0,0.00783752,0.0,36863.850294741
350,391.0,229.0,"b'U\x89\xb3\x17QU\xe3%,\xb0,\xce/\xaa\xe5^\xc3\x81\x00\xa6U\rzq\xf4d\xd4\xfe\xfda\x93\xfa'",13802629,1.0,0xA25207Bb8f8EC2423E2ddf2686A0CD2048352f3E,0x0000000000000000000000000000000000000000,49.0,140534.0,41800000000.0,0.0058743212,393.6813326800001,0.0
351,124.0,146.0,b'\x16\x06$\xcc\x9a\x8e}\x86\xe9\x08\xb2\x95\xd9\xbb\x1d\xd4\xdd\x17\xd6*\x83.\xdd\x04\xd3E\xafM\xea\xbf\xa6\x96',13826752,1.0,0x99CCF0db7783927E9a1Ad324e99b6964C587024A,0x28de46689b899af843Ec549199AD70a75ad4d960,14.0,221302.0,81908441331.0,0.018126501883432962,256.0,76800.34703386441
352,385.0,198.0,"b'\x18:t3Y\x13:=\xb5x\x92\xf8/\xb9\xe9[\xc18!\xf4""\x1c\x1aTPR@\xdd\x05fr_'",13826755,1.0,0x99CCF0db7783927E9a1Ad324e99b6964C587024A,0xD2eadB71FFA6B638c059051b1A3C2157c9cD7A5C,38.0,223314.0,74504903595.0,0.01663798804141383,251.00000000000003,35750.873537275205
353,413.0,243.0,"b'\xea1H\xeb;\xfe\xbb\xed\x9e\x05\xbeA}G&\x8dQ""\x11\xc3d&\xfe\xc1\x97k\x179\xd1\xc0\xf7\xc5'",13828558,1.0,0x28de46689b899af843Ec549199AD70a75ad4d960,0x0000000000000000000000000000000000000000,3.0,140534.0,33550337423.0,0.004714963119403882,408.43057755702273,0.0
355,120.0,86.0,"b'\x7fj\x91sB\xc5\x8c9\x91\x1eL\xc7\xa6\xfa\xfb$d\x99<""J\xb5\x1cF\xb8\xeb\xf6\xec\xfbE\x87x'",13842311,1.0,0x31F7E1DBB5165D07CA19c6dD09D66078E3D5bE1e,0xE890EB333d154fBb4242327228d3fFce125A5867,2.0,250984.0,52472959752.0,0.013169873330395968,63.63228556756948,13010.7942781458
356,579.0,303.0,"b""\xb5Z\xea\t\x9f\xb4%\x1ef\xabKL|.N\x87\xa2\xf6\x18\xb5\xa9\xec'k\x17\x97\xabZ\x92\xc6\xab\x91""",13853137,1.0,0xfFaCEf4fA1f0841ea479B168e734C1D5aeb41766,0x1711bc52bf7e0494325799717fe640F1924617B7,1.0,240450.0,39266335578.0,0.0094415903897301,450.00000000000006,109284.5339268795
